NO;LOKASI PENGUNGSIAN;ALAMAT
11;Masjid Baiturrahman;Jl. Mesjid Raya No.RT. 08/02 9, RT.8/RW.5, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730
12;SDN 07 Pagi Cengkareng Barat;Jl. Rw. Kramat No.4 1, RT.4/RW.4, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730
13;RPTRA Anggrek;Jl. Komp. Kebersihan Dpu Jl. Menceng Raya, RT.8/RW.4, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820
14;SDN 01 Kembangan;1, Jl. Kembangan Utara No.83, RT.1/RW.2, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610
15;SDN 09 Kedoya Utara;Jl. Kedoya Raya Pesing Koneng No.RT. 010/08, RT.14/RW.8, Kedoya Utara, Kec. Kb. Jeruk, Kota Adm. Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520
16;Gereja Siti Maryam;Jl. Kedoya Pesing, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520
17;SDN 05 dan 014, Kapuk;Jl. Mawar SCB No.7 4, RT.7/RW.1, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
18;SMP 100 Kapuk;Jl. Obsidian No.1 3, RT.3/RW.8, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
19;Masjid Jami' Al-Amin;Jl. Alamin No.165 17, RT.3/RW.12, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
20;Majlis Ta'lim Miftahul;Jl. Pedongkelan Baru No.9, RT.8/RW.16, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
21;Masjid At-Taqwa;RT.6/RW.2, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710
22;Masjid Uswatun Hasanah;Jl.Daan Mogot No.100 Pesing, RT.1/RW.5, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710
23;Masjid darul Arqom;Jl. Swadaya Jl. Daan Mogot No.6, RT.6/RW.5, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710
24;Masjid Al-Fudholla;Gg. H. Musanif No.49 1, RT.1/RW.8, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710
25;Masjid RW KH.Hasyim Asyari;Jalan Daan Mogot KM 14,5 No.14, RT.3/RW.14, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750
26;RPTRA Carina Sayang;Jl. Kacang Tanah Raya, RT.5/RW.10, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740
27;Masjid Al-Ittihadiyah;RT.3, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740
28;Sekolah Vianney;Jl. Bojong Raya No.98, RT.14/RW.4, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740
29;Sekolah SDN 07 & 08 Rawa Buaya;Jl. Bojong Raya No.7 2, RT.2/RW.4, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740
30;RPTRA Intiland Rawa Buaya;Jl. Bojong Raya No.66 5, RT.5/RW.5, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740
JAKARTA SELATAN;;
1;Masjid Al Falah;RT.5/RW.6, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790
2;Masjid Ariyad;Jl. Tegal Parang Utara VI No.16, RT.16/RW.4, Mampang Prpt., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790
3;Gedung ICON;Jl. Kh. Abdul Rochim No.1, RT.9/RW.1, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710
4;Masjid At Taysier;Rt. 005/04, Jl. Poncol Jaya, RT.5/RW.4, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710
5;Masjid Darussalam;Jl. Poncol Jaya No.41 11, RT.11/RW.5, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12710
6;SDN Manggarai 01 Pagi;Jl. Manggarai Utara 1 No.6, RT.1/RW.1, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850
7;Kantor Kelurahan Manggarai;Jl. Lap.Menara Air No.7, RT.7/RW.11, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850
8;Masjid Al-Aliyah;JL H, RT 09 RW 09, Tebet, RT.6/RW.14, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830
